# y+ ()         
# Time          	patch           	min             	max             	average         
0.0168          	sphere1	1.08154211e+00	5.80376221e+00	3.70776484e+00
0.0169          	wall1	6.42181505e+00	1.68694607e+01	1.25343586e+01
0.0169          	sphere1	1.07878874e+00	5.80320331e+00	3.70775657e+00
0.017           	wall1	6.42217874e+00	1.68694779e+01	1.25343534e+01
0.017           	sphere1	1.07513969e+00	5.80254017e+00	3.70766062e+00
0.0171          	wall1	6.42175969e+00	1.68694607e+01	1.25343487e+01
0.0171          	sphere1	1.07225415e+00	5.80209260e+00	3.70763144e+00
0.0172          	wall1	6.42210281e+00	1.68694778e+01	1.25343445e+01
0.0172          	sphere1	1.06833618e+00	5.80148106e+00	3.70751234e+00
0.0173          	wall1	6.42170865e+00	1.68694606e+01	1.25343409e+01
0.0173          	sphere1	1.06494104e+00	5.80111334e+00	3.70743985e+00
0.0174          	wall1	6.42205285e+00	1.68694778e+01	1.25343383e+01
0.0174          	sphere1	1.06166447e+00	5.80067134e+00	3.70712966e+00
0.0175          	wall1	6.42166640e+00	1.68694606e+01	1.25343365e+01
0.0175          	sphere1	1.05932882e+00	5.80043729e+00	3.70708113e+00
